Watchlist 'Warrants'

Warrants
Symbol,m sh val,ADR
HIIIW,0.09,117.0
HJLIW,0.0011,125.8068
HLAHW,0.01,108.41
HMCOW,0.01,116.42
HOFVW,0.0272,113.656
HOLUW,NaN,NaN
HPKEW,0.0,108.09
HTOOW,0.01,106.45
HYACW,0.01,119.19
HYMCW,0.03,135.28
IEAWW,0.16,113.77
IGACW,0.02,109.84
IGICW,0.0036,108.4489
IGNYW,0.0,107.45
IIIIW,0.0,106.15
IMACW,6.0E-4,126.7769
IMRNW,0.0,109.09
IMTXW,0.03,118.93
INKAW,0.0,106.51
INVZW,0.06,115.63
IPVIW,0.02,115.92
IRNT/WS,1.94,160.22
IRS/WS,0.0,115.54
ISLEW,0.0,103.86
ITACW,0.01,108.01
ITHXW,0.0,102.31
ITQRW,0.0,108.03
JCICW,0.05,111.13
JOFFW,0.02,114.69
JUPWW,0.0018,106.2543
KAIIW,0.01,132.6
KAIRW,0.0,118.49
KBNTW,0.01,114.92
KERNW,0.0221,116.9752
KIIIW,0.0,109.46
KINZW,0.0299,109.6076
KLAQW,0.0,107.56
KPLTW,0.51,122.16
KRNLW,0.01,107.24
KSICW,0.01,113.73
KSMTW,NaN,NaN
KURIW,0.0172,104.2984
LACQW,NaN,NaN
LATNW,0.0876,108.4632
LBPSW,0.01,114.27
LCAAW,0.0,114.8
LCAHW,0.03,112.23
LCAPW,0.0125,113.1972
LCIDW,6.98,107.45
LCYAW,1.38,114.45
LDHAW,0.0,106.17
LEGAW,0.01,104.55
LEGOW,0.11,107.89
LEV/WS,0.71,117.59
LEXXW,0.01,111.55
LFTRW,0.03,109.19
LGACW,0.01,113.43
LGHLW,0.006,127.9003
LIVKW,NaN,NaN
LIXTW,0.0014,114.1243
LJAQW,0.0,114.03
LMACW,0.01,125.17
LMAOW,0.0093,107.8525
LOACW,0.08,125.1
LOTZW,0.04,119.34
LSEAW,0.01,108.65
LUXAW,0.01,112.44
LVRAW,0.0,115.91
LWACW,NaN,NaN
MAACW,0.12,114.93
MACAW,0.02,106.59
MACQW,0.01,112.34
MACUW,0.0035,107.0146
MBTCR,0.01,120.75
MCMJW,0.03,103.42
MDGSW,7.0E-4,127.0253
METXW,0.006,125.8064
MILEW,0.03,116.83
MLACW,0.05,133.3
MONCW,0.01,106.81
MOTNW,0.01,101.39
MRACW,0.1,111.74
MSACW,0.0,121.93
MSDAW,0.01,111.13
MTACW,0.02,106.08
MUDSW,0.03,106.9
NAACW,0.01,116.78
NBACW,0.17,120.25
NBSTW,0.0,102.91
NDACW,0.0,112.88
NDRAW,0.0018,110.3907
NEBCW,NaN,NaN
NESRW,0.0,107.08
NGACW,NaN,NaN
NGCAW,0.15,113.16
NHICW,NaN,NaN
NLSPW,0.0,125.42
NMMCW,0.0,114.6
NOACW,0.0,105.56
NPAWW,0.31,118.3
NRACW,0.06,108.46
NRXPW,0.32,118.01
NVSAW,0.05,105.3891
NVVEW,0.18,111.51
OCAXW,0.0,107.04
OEPWW,0.0,109.07
OHPAW,0.01,118.37
ONTXW,0.0251,154.2963
OPAD/WS,0.37,144.44
OPENW,1.01,109.7
OSATW,0.01,118.17
OSTRW,0.0,107.55
OTLKW,0.0016,125.6361
OTRAW,0.0,101.61
OXBRW,0.0021,125.4026
PACXW,0.0188,113.2329
PAEWW,0.19,113.99
PAICW,0.0194,113.7627
PAQCW,0.0094,111.5627
PAVMW,0.0294,114.7949
PAYAW,0.07,109.15
PCTTW,0.06,118.65
PDAC/U,0.03,113.89
PFDRW,0.0371,110.5148
PGRWW,0.0,110.47
PHICW,0.08,112.88
PHIOW,1.0E-4,107.1759
PHUNW,0.0014,116.5184
PLMIW,0.05,110.32
PMGMW,0.0,105.22
POWRW,0.0,115.53
PPGHW,0.102,116.2739
PRCHW,0.1,135.16
PRSRW,0.03,107.94
PSACW,0.65,118.72
PSAGW,0.0,118.95
PTICW,0.01,101.52
PTIXW,0.0,104.47
PTOCW,0.0,105.14
PUCKW,0.0213,107.3282
PXSAW,4.0E-4,117.0753
QELLW,0.17,116.8
QSIAW,0.05,120.53
RAACW,0.08,114.39
RAMMW,0.01,115.71
RCHGW,0.006,107.1393
RCLFW,0.03,111.5
RELIW,0.0,121.13
REVHW,0.01,108.42
RMGBW,NaN,NaN
RMGCW,0.01,106.78
ROCCW,NaN,NaN
ROCRW,0.01,115.17
RSVAW,0.21,120.63
RSVRW,0.11,136.9
RTPYW,0.08,107.66
RVPHW,0.0111,111.6076
RXRAW,0.0,101.11
SAIIW,NaN,NaN
SBEAW,0.0,104.44
SCAQW,0.02,115.19
SCLEW,0.01,106.69
SCOAW,0.017,108.1316
SCOBW,0.0144,106.2344
SDACW,1.0E-4,107.2879
SGAMW,0.022,109.617
SGLBW,1.0E-4,132.7669
SHACW,0.0,108.4
SHIPW,0.0149,146.1667
SKINW,2.45,120.57
SKLZ/WS,0.95,341.47
SLAMW,0.04,106.62
SLCRW,0.02,117.94
SNGXW,0.0018,111.9512
SNRHW,0.02,118.62
SOFIW,1.2,110.57
SOLOW,0.03,109.42
SPKBW,0.0,104.33
SPTKW,0.0125,111.4145
SRACW,NaN,NaN
SRNGW,2.08,118.96
SRSAW,0.05,104.8
SSAAW,0.0093,107.1786
SSPKW,1.1,128.15
STWOW,0.01,111.48
SVACW,NaN,NaN
SVFAW,0.03,109.56
SVOKW,0.01,109.35
SVSVW,0.02,111.96
SWETW,0.01,106.57
SYTAW,0.07,163.3
TBCPW,0.03,110.2
TBLTW,0.0048,120.1508
TBSAW,0.0,112.09
TCACW,0.0,102.84
TDACW,0.18,111.23
TEKKW,0.02,109.62
TETCW,0.0,108.01
THBRW,0.77,117.59
THCAW,0.01,107.51
THCBW,NaN,NaN
THMAW,0.0,119.27
THWWW,0.0071,110.1184
TIOAW,0.05,113.42
TLGA/WS,0.0631,111.2117
TLMDW,0.02,112.26
TMCWW,4.08,168.11
TMKRW,0.03,122.59
TMPMW,0.0,105.79
TMTSW,0.26,109.9
TRITW,0.01,118.71
TRKAW,0.0028,112.8241
TSIAW,0.22,115.31
TSIBW,0.0042,106.9375
TVACW,0.01,110.32
TWCTW,NaN,NaN
TWLVW,0.0,106.46
TWNKW,0.1,106.48
TZPSW,0.0047,112.0655
UKOMW,0.0159,115.7912
USWSW,0.0082,115.878
VACQW,NaN,NaN
VCKAW,0.0,112.54
VCVCW,NaN,NaN
VELOW,0.0,134.67
VENAW,0.0,105.72
VERBW,0.0122,116.1966
VHAQ/WS,0.0,109.39
VIEWW,0.02,113.27
VIHAW,0.24,134.78
VIIAW,0.0,102.81
VINCW,0.05,124.86
VKTXW,0.0,102.86
VLDRW,0.04,111.19
VMACW,0.0217,110.7864
VOSOW,0.04,111.16
VPCBW,0.02,107.85
VRMEW,0.0,118.97
VSPRW,NaN,NaN
VSSYW,0.0,169.68
VTAQW,0.0,117.27
VTIQW,0.02,117.84
WALDW,0.0,124.71
XBIOW,0.0,148.59
XOSWW,0.06,133.84
XPDIW,0.05,109.67
YSACW,0.0,106.39
ZEV/WS,0.12,120.15
ZGYHW,0.0218,108.9742
ZIVOW,0.0,126.6
ZNTEW,0.01,107.27
ZWRKW,0.01,113.94
